region,lat,lng
Yamagata-ken Takahata-machi,38.0027438,140.1892163
Yamagata-ken Kawanishi-machi,38.0044319,140.0458594
Yamagata-ken Oguni-machi,38.0615496,139.7433517
Yamagata-ken Shirataka-machi,38.1831434,140.0984599
Yamagata-ken Iide-machi,38.0455713,139.9878689
Yamagata-ken Mikawa-machi,38.7945327,139.8496063
Yamagata-ken Shonai-machi,38.8498797,139.9048849
Yamagata-ken Yuza-machi,39.0145659,139.9074169
Fukushima-ken Fukushima-shi,37.7607991,140.4747855
Fukushima-ken Aizuwakamatsu-shi,37.4899827,139.9277486
Fukushima-ken Koriyama-shi,37.40047759999999,140.3596822
Fukushima-ken Iwaki-shi,37.0505055,140.8877435
Fukushima-ken Shirakawa-shi,37.1266145,140.211014
Fukushima-ken Sukagawa-shi,37.2868591,140.3727782
Fukushima-ken Kitakata-shi,37.6513048,139.8746281
Fukushima-ken Soma-shi,37.7970426,140.9190868
Fukushima-ken Nihonmatsu-shi,37.5848714,140.4312591
Fukushima-ken Tamura-shi,37.4405664,140.5764032
Fukushima-ken Minamisoma-shi,37.6422006,140.957261
Fukushima-ken Date-shi,37.8191423,140.5628749
Fukushima-ken Motomiya-shi,37.51313870000001,140.393895
Fukushima-ken Kori-machi,37.8495176,140.5164049
Fukushima-ken Kunimi-machi,37.8768126,140.5494011
Fukushima-ken Kawamata-machi,37.6651095,140.5982404
Fukushima-ken Otama-mura,37.5343552,140.37119
Fukushima-ken Kagamiishi-machi,37.2528124,140.3434888
Fukushima-ken Tenei-mura,37.25557490000001,140.2471971
Fukushima-ken Shimogo-machi,37.2555639,139.8721203
Fukushima-ken Hinoemata-mura,37.0241499,139.3888872
Fukushima-ken Tadami-machi,37.3489055,139.3160686
Fukushima-ken Minamiaizu-machi,37.2004645,139.7738212
Fukushima-ken Kitashiobara-mura,37.6557471,139.9375554
Fukushima-ken Nishiaizu-machi,37.5894377,139.64761
Fukushima-ken Bandai-machi,37.56212,139.9887373
Fukushima-ken Inawashiro-machi,37.5577638,140.1048394
Fukushima-ken Aizubange-machi,37.5615051,139.8217746
Fukushima-ken Yugawa-mura,37.5654249,139.8866666
Fukushima-ken Yanaizu-machi,37.5279859,139.7224492
Fukushima-ken Mishima-machi,37.4703464,139.6441251
Fukushima-ken Kaneyama-machi,37.45380129999999,139.5243047
Fukushima-ken Showa-mura,37.3356369,139.6109747
Fukushima-ken Aizumisato-machi,37.4598427,139.8411652
Fukushima-ken Nishigo-mura,37.1417791,140.1553883
Fukushima-ken Izumizaki-mura,37.15371830000001,140.3019717
Fukushima-ken Nakajima-mura,37.1489211,140.3502201
Fukushima-ken Yabuki-machi,37.20124670000001,140.338474
Fukushima-ken Tanagura-machi,37.0299581,140.3796351
